Date,,CMR,XIC,XIU,XBB,XSB,XIN,XEM,XSP,XQQ,XRE,Absolute,Total,Running ROR,34.20%
"Mar 31 2012",,0.066029,-1.647313,-1.289689,-0.355851,-0.098206,1.322218,-1.672782,3.284138,5.149930,0.027969,,0.03%,,
"Apr 30 2012",,0.068412,-0.612965,-0.799202,0.066968,-0.146970,-2.889546,-2.862580,-0.612914,-1.060085,3.317971,,3.32%,,
"May 31 2012",,0.069712,-6.146979,-5.987724,2.100789,0.856451,-7.232622,-6.342472,-6.248752,-7.469241,0.128940,,0.13%,,
"Jun 30 2012",,0.066406,1.077757,1.447980,0.011471,0.152289,4.855743,3.396420,4.140801,3.601003,2.098246,,2.10%,,
"Jul 31 2012",,0.072828,0.776599,0.487676,0.605251,0.124314,0.429194,-1.866640,1.321689,1.066927,3.620686,,3.62%,,
"Aug 31 2012",,0.068385,2.624439,2.886788,-0.095595,0.115924,2.135706,-1.148252,2.404807,5.050899,-0.504582,,-0.50%,,
"Sep 30 2012",,0.062852,3.401795,3.180713,0.642032,0.396407,1.343577,4.871127,2.275409,1.039384,0.620652,,0.62%,,
"Oct 31 2012",,0.074173,1.042031,1.455521,-0.226382,0.086787,1.473570,1.054527,-1.995789,-5.418748,-1.514030,,-1.51%,,
"Nov 30 2012",,0.067801,-1.301968,-1.087165,0.595858,0.240856,3.369209,1.042666,0.820502,1.398992,-1.634481,,-1.63%,,
"Dec 31 2012",,0.069347,1.920280,1.928556,-0.171170,-0.063537,4.128652,6.908993,0.961195,-0.535032,3.977418,,3.98%,,
"Jan 31 2013",,0.070000,2.221338,2.176221,-0.764321,0.000159,4.394853,0.013472,5.219963,2.671430,0.727153,,0.73%,,
"Feb 28 2013",,0.060000,1.234947,1.637429,0.975238,0.685665,1.472532,0.566065,1.386769,0.475532,1.038749,,1.04%,,
"Mar 31 2013",,0.060000,-0.211826,-0.617829,0.430572,0.147463,2.263259,-2.167941,3.622662,2.970285,-0.268878,,-0.27%,,
"Apr 30 2013",,0.070000,-2.081746,-2.573657,1.087776,0.328238,4.233496,0.175663,1.948623,2.483779,4.966571,,4.97%,,
"May 31 2013",,0.070000,1.748122,2.379912,-1.473791,-0.390621,0.017632,-2.189813,2.500270,3.615127,-5.815793,,-5.82%,,
"Jun 30 2013",,0.060000,-3.761110,-3.872484,-2.054252,-0.578778,-3.021980,-3.422814,-1.549812,-2.348529,-6.137360,,-6.14%,,
"Jul 31 2013",,0.070000,3.151748,2.988345,0.170131,0.372605,4.105693,-1.541443,5.255839,6.141650,-2.878988,,-2.88%,,
"Aug 31 2013",,0.070000,1.522430,1.923023,-0.633725,-0.106270,-2.077378,0.157552,-3.022438,-0.278099,-3.040391,,-3.04%,,
"Sep 30 2013",,0.070000,1.353382,1.111953,0.456288,0.310289,5.017342,4.421403,3.133586,4.656403,2.862554,,2.86%,,
"Oct 31 2013",,0.070000,4.689549,4.936121,1.047999,0.629727,3.298956,5.647416,4.724358,5.093821,2.984115,,2.98%,,
"Nov 30 2013",,0.060000,0.451230,0.737528,-0.262240,0.204411,1.323434,1.248191,3.059106,3.574400,-1.841132,,-1.84%,,
"Dec 31 2013",,0.070000,1.981174,1.800498,-0.431340,-0.104502,1.899650,-0.291735,2.546577,3.083803,1.891825,,1.89%,,
"Jan 31 2014",,0.070000,0.785455,0.512774,2.574121,0.889121,-4.622294,-4.050664,-3.605904,-1.963584,0.548987,,0.55%,,
"Feb 28 2014",,0.060000,3.897272,3.662371,0.331592,0.132068,4.209701,2.630466,4.590646,5.105342,3.367311,,3.37%,,
"Mar 31 2014",,0.070000,1.208661,1.214920,-0.242581,-0.048258,-0.234963,3.520801,0.864779,-2.600444,1.613938,,1.61%,,
"Apr 30 2014",,0.060000,2.414221,2.301904,0.500880,0.246500,1.082563,0.253026,0.786762,-0.300549,1.689672,,1.69%,,
"May 31 2014",,0.060000,-0.166887,0.007557,1.211259,0.327582,2.370261,1.853103,2.325373,4.492351,1.116072,,1.12%,,
"Jun 30 2014",,0.070000,4.046862,3.859856,0.210505,0.045598,-0.195764,0.315776,2.052586,3.056461,0.910609,,0.91%,,
"Jul 31 2014",,0.060000,1.414209,2.314310,0.623053,0.152190,-0.788485,3.590536,-1.347319,1.219680,-0.165177,,-0.17%,,
"Aug 31 2014",,0.070000,2.080027,1.702515,1.039641,0.215444,1.309863,2.450757,4.006516,5.081772,2.179690,,2.18%,,
"Sep 30 2014",,0.070000,-3.985333,-3.532308,-0.688471,-0.071869,0.151806,-4.985234,-1.409940,-0.742835,-3.038329,,-3.04%,,
"Oct 31 2014",,0.070000,-2.067736,-1.428770,0.559618,0.292766,0.972162,2.309353,2.480746,2.774324,3.921880,,3.92%,,
"Nov 30 2014",,0.060000,1.059641,1.721309,1.527816,0.460969,2.098437,-0.430459,2.877868,4.529332,0.486506,,0.49%,,
"Dec 31 2014",,0.070000,-0.439791,-0.661798,0.538737,0.124222,-1.997126,-2.705889,-0.301992,-2.341039,-3.114156,,-3.11%,,
"Jan 31 2015",,0.060000,0.548545,0.565644,4.587801,1.927429,3.236445,8.717201,-3.117040,-2.237130,9.306824,,9.31%,,
"Feb 28 2015",,0.050000,3.960694,3.969166,-0.149992,-0.041347,6.525544,2.684956,5.603938,7.099163,-0.058595,,-0.06%,,
"Mar 31 2015",,0.050000,-1.880423,-2.093826,-0.341606,-0.050475,1.471914,0.023481,-1.638740,-2.356270,-1.357534,,-1.36%,,
"Apr 30 2015",,0.040000,2.416306,2.270398,-1.400730,-0.472004,0.736479,2.185564,0.996692,1.846059,1.205079,,1.21%,,
"May 31 2015",,0.040000,-1.217231,-1.167476,0.177366,0.376658,2.340085,-1.180866,1.358886,2.310009,-5.208922,,-5.21%,,
"Jun 30 2015",,0.040000,-2.776897,-2.835711,-0.587505,0.233321,-4.991921,-3.023708,-2.010076,-2.393035,-1.072617,,-1.07%,,
"Jul 31 2015",,0.040000,-0.310102,0.959928,1.400741,0.353245,3.663712,-2.374279,2.356761,4.614143,0.250042,,0.25%,,
"Aug 31 2015",,0.033616,-4.036561,-4.303580,-1.068483,-0.215016,-7.922850,-6.768458,-6.254918,-6.848207,-5.410516,,-5.41%,,
"Sep 30 2015",,0.024853,-3.677718,-3.506052,-0.280374,-0.214996,-4.115927,-2.360697,-2.603250,-2.202587,1.606245,,1.61%,,
"Oct 31 2015",,0.023892,1.944582,1.573813,-0.288567,-0.019712,6.521097,3.805901,8.219021,10.871983,0.784817,,0.78%,,
"Nov 30 2015",,0.028571,-0.233432,-0.161319,0.060191,-0.027817,2.092470,-0.786586,0.404567,0.503439,-1.004729,,-1.00%,,
"Dec 31 2015",,0.030675,-3.064591,-3.115428,1.122858,0.480498,-3.921158,0.084923,-1.925814,-1.599387,-3.540844,,-3.54%,,
"Jan 31 2016",,0.030851,-1.158300,-0.987466,0.339871,0.192375,-4.064056,-3.753120,-5.078387,-6.939168,0.960151,,0.96%,,
"Feb 29 2016",,0.035963,0.471894,0.202646,0.160771,-0.180520,-4.994443,-4.586389,-0.145485,-1.683017,2.881965,,2.88%,,
"Mar 31 2016",,0.035840,5.260000,5.030000,0.800000,0.330000,2.960000,7.890000,6.460000,6.450000,6.370000,,6.37%,,
"Apr 30 2016",,0.034588,3.660553,3.411387,-0.088931,-0.145649,0.639805,-2.770155,0.330314,-3.053605,2.376226,,2.38%,,
"May 31 2016",,0.039865,0.991794,0.818455,0.855476,0.307732,2.769476,0.596595,1.796270,4.543906,0.882799,,0.88%,,
"Jun 30 2016",,0.037188,0.340973,-0.061917,1.769912,0.429597,-3.167528,3.638126,0.257044,-2.326776,5.941508,,5.94%,,
"Jul 31 2016",,0.034746,3.894828,3.867251,0.822350,0.129200,3.716347,5.868875,3.635374,7.106600,1.948946,,1.95%,,
"Aug 31 2016",,0.040391,0.265441,0.599067,0.065104,0.027074,1.486455,1.441421,0.123216,0.997383,-4.993416,,-4.99%,,
"Sep 30 2016",,0.035638,1.216922,1.176171,0.216479,0.232320,0.490909,2.682662,-0.078010,2.184259,-0.615697,,-0.62%,,
"Oct 31 2016",,0.035767,0.613364,1.368243,-0.951432,-0.005858,1.038295,1.124668,-1.833061,-1.562333,-2.397999,,-2.40%,,
"Nov 30 2016",,0.034582,2.188464,2.455114,-2.076673,-0.499058,1.407630,-4.106718,3.644913,0.342682,-0.668033,,-0.67%,,
"Dec 31 2016",,0.034930,1.656019,1.612550,-0.512842,-0.061297,3.653337,-0.683819,2.004570,1.071427,3.634149,,3.63%,,
"Jan 31 2017",,0.039080,0.844112,1.216244,-0.173260,0.168432,0.533476,3.682541,1.643720,5.036203,-0.040578,,-0.04%,,
"Feb 28 2017",,0.033944,0.208755,-0.085213,0.935795,0.315639,1.960255,3.347943,3.958649,4.332973,3.324768,,3.32%,,
"Mar 31 2017",,0.038535,1.332307,1.250320,0.391059,0.120338,3.018995,4.397895,0.021652,2.001191,0.221938,,0.22%,,
"Apr 30 2017",,0.036988,0.435153,0.560698,1.415289,0.378583,1.358837,4.261136,0.939886,2.745824,1.402606,,1.40%,,
"May 31 2017",,0.044313,-1.319804,-1.200047,0.830831,0.149920,2.045805,1.591429,1.342430,3.707265,-0.391977,,-0.39%,,
"Jun 30 2017",,0.038307,-0.754116,-1.181634,-1.165262,-0.983226,-0.457947,-3.025417,0.518305,-2.388971,-1.166570,,-1.17%,,
"Jul 31 2017",,0.044312,-0.064750,0.035327,-1.941770,-0.438905,0.471124,1.897635,1.927491,3.926506,-1.428432,,-1.43%,,
"Aug 31 2017",,0.052533,0.665620,0.352114,1.426734,0.431033,0.031211,2.610341,0.212256,1.920712,1.540708,,1.54%,,
"Sep 30 2017",,0.058073,3.051347,3.520790,-1.346550,-0.474590,2.594449,-0.294809,1.897709,-0.188449,-0.037650,,-0.04%,,
